source,target,weight
145,31383,1.0
145,32813,1.0
145,84149,1.0
145,105294,1.0
145,117383,1.0
145,160817,1.0
145,175764,1.0
145,338687,1.0
145,351902,1.0
145,376613,1.0
145,418840,1.0
145,466173,1.0
145,563940,1.0
145,572310,1.0
145,607020,1.0
145,613750,1.0
145,617317,1.0
145,620114,1.0
145,628474,1.0
145,748485,1.0
145,835622,1.0
145,937351,1.0
145,940112,1.0
145,508730,1.0
145,441435,1.0
145,291936,1.0
145,1539,0.022868
145,38878,0.015937
145,60438,0.033711000000000005
145,87432,0.036657999999999996
145,133263,0.009975000000000001
145,152991,0.012958
145,161042,0.037639
145,182620,0.033711000000000005
145,240671,0.023856000000000002
145,253537,0.037639
145,258017,0.03076
145,265474,0.037639
145,328891,0.035676
145,397832,0.0199
145,472016,0.014943999999999999
145,614445,0.037639
145,685438,0.0039959999999999996
145,694461,0.037639
145,705632,0.029775
145,718811,0.034694
145,724674,0.025832
145,852394,0.032728
145,936742,0.037639
145,954515,0.037639
145,984973,0.037639
145,9072,0.01891
145,999659,0.01891
145,975852,0.015936
145,953096,0.027804000000000002
145,834971,0.001999
145,583085,0.0039959999999999996
145,421005,0.014943999999999999
145,330596,0.035676
145,123196,0.005991
145,183735,0.026818
145,214760,0.025832
145,229032,0.004994
145,240913,0.035676
145,294105,0.037639
145,315645,0.03076
145,360291,0.037639
145,425517,0.01891
145,481517,0.00898
145,536587,0.006988
145,552679,0.013951
145,575684,0.029775
145,606750,0.037639
145,662690,0.032728
145,672617,0.037639
145,881873,0.037639
145,913587,0.026818
145,948301,0.022868
145,808503,0.03076
145,55408,0.025831
145,73989,0.022868
145,106743,0.024843999999999998
145,110303,0.037639
145,145845,0.02879
145,168346,0.037639
145,176164,0.01097
145,185706,0.032728
145,193676,0.035676
145,199187,0.037639
145,278374,0.025831
145,281431,0.032728
145,288123,0.033711000000000005
145,292231,0.01891
145,350827,0.002998
145,393955,0.006988
145,399241,0.007984
145,412878,0.01891
145,428286,0.011965
145,434435,0.022868
145,439346,0.035676
145,457566,0.022868
145,502190,0.037639
145,509031,0.026818
145,555524,0.037639
145,645071,0.01792
145,648400,0.037639
145,654577,0.03076
145,670600,0.004994
145,705172,0.02879
145,728654,0.014943999999999999
145,776400,0.024843999999999998
145,798855,0.036657999999999996
145,812593,0.02089
145,827354,0.026818
145,833800,0.019901
145,875987,0.011963999999999999
145,965293,0.023856999999999996
145,983433,0.0039970000000000006
145,987402,0.037639
145,965592,0.013951
145,953413,0.016928
145,815960,0.024843999999999998
145,584792,0.026818
145,372854,0.031744
145,367841,0.0039959999999999996
145,146170,0.027804999999999996
145,16154,0.033711000000000005
145,23096,0.022868
145,23413,0.004994
145,32806,0.015937
145,44162,0.004994
145,46049,0.037639
145,72474,0.012958
145,93499,0.014944
145,98220,0.001999
145,189144,0.004994
145,198812,0.025832
145,202511,0.011965
145,214829,0.011963999999999999
145,226089,0.001999
145,239119,0.002998
145,239215,0.031744
145,318384,0.009976
145,381316,0.009976
145,437145,0.01097
145,489729,0.0029980000000000002
145,520893,0.0199
145,551095,0.007984999999999999
145,575204,0.012958
145,584565,0.029776000000000004
145,598707,0.002998
145,702370,0.014943999999999999
145,731718,0.001999
145,747042,0.001999
145,759507,0.021879
145,762558,0.013951
145,833290,0.005991
145,856725,0.035676
145,858258,0.02879
145,890236,0.021879
145,912099,0.014943999999999999
145,937704,0.011965
145,968045,0.033711000000000005
145,983003,0.026818
145,82245,0.013951
145,103910,0.0039959999999999996
145,688082,0.037639
145,422091,0.017918999999999997
145,177377,0.013951
145,109353,0.022868
145,137040,0.00898
145,149050,0.00898
145,157906,0.004994
145,208224,0.001999
145,381409,0.004994
145,436418,0.00898
145,436879,0.00898
145,601148,0.015937
145,638857,0.026818
145,640518,0.002998
145,643349,0.033711000000000005
145,689551,0.006988
145,738233,0.006988
145,783758,0.0039959999999999996
145,789430,0.006988
145,865448,0.013952
145,876906,0.032728
145,897361,0.001999
145,961018,0.037639
145,767676,0.017918999999999997
145,600619,0.03076
145,513869,0.0029980000000000002
145,365616,0.007984999999999999
145,275363,0.0199
145,253869,0.011963999999999999
145,160531,0.035676
145,154286,0.002998
145,212644,0.001999
145,241923,0.01097
145,412455,0.016928
145,463435,0.001999
145,469180,0.0039959999999999996
145,473629,0.032728
145,585626,0.01891
145,725592,0.036657999999999996
145,743359,0.002998
145,70420,0.02089
145,777914,0.03076
145,12180,0.024843999999999998
145,52933,0.014944
145,127409,0.00898
145,141626,0.0029980000000000002
145,162306,0.001
145,185660,0.001999
145,197117,0.006988
145,235170,0.0029980000000000002
145,243588,0.001999
145,249667,0.034694
145,287882,0.02089
145,315741,0.017918999999999997
145,323213,0.02089
145,323807,0.01891
145,338181,0.001
145,352321,0.037639
145,366716,0.012958
145,377319,0.01891
145,423420,0.037639
145,473614,0.013952
145,491298,0.022868
145,514611,0.02089
145,551116,0.001999
145,560009,0.005991
145,726542,0.024843999999999998
145,733443,0.00898
145,782536,0.001999
145,901815,0.001
145,927895,0.02879
145,950278,0.001999
145,950407,0.02089
145,57955,0.027804000000000002
145,817147,0.034694
145,764148,0.007984
145,594395,0.0039959999999999996
145,384852,0.037639
145,69175,0.001999
145,91959,0.004994
145,123437,0.004994
145,152481,0.004994
145,194721,0.006988
145,427619,0.001999
145,495790,0.0029980000000000002
145,588774,0.034694
145,602238,0.02188
145,672075,0.001999
145,680069,0.004994
145,723044,0.03076
145,757766,0.026818
145,760280,0.029776000000000004
145,835455,0.02089
145,839495,0.001
145,857941,0.013951
145,899692,0.001999
145,956839,0.03076
145,977079,0.001999
145,163647,0.032728
145,423765,0.0199
145,790825,0.014943999999999999
145,351038,0.009975000000000001
145,838961,0.026818
145,97664,0.001999
145,9797,0.01097
145,131162,0.004994
145,212256,0.005991
145,713609,0.031745
145,887152,0.031744
145,909244,0.015936
145,978744,0.0029980000000000002
145,936489,0.007984999999999999
145,51309,0.012958
145,166107,0.012958
145,294140,0.016928
145,517652,0.001999
145,679489,0.005992
145,809698,0.001999
145,827484,0.0199
145,965700,0.027804000000000002
145,24901,0.014946
145,280445,0.007984999999999999
145,521751,0.037639
145,778023,0.004994
145,819316,0.013951
145,40242,0.004994
145,947148,0.022868
145,70766,0.0029980000000000002
145,90376,0.0039970000000000006
145,703680,0.005992
145,715340,0.0199
145,870337,0.001999
145,235452,0.01097
145,680728,0.0039959999999999996
145,896821,0.006988
145,396793,0.0039959999999999996
145,485906,0.001
145,513326,0.002998
145,723328,0.007984
145,796049,0.02879
145,854305,0.002998
145,548651,0.001
145,940285,0.011963999999999999
145,646566,0.002998
145,785882,0.001
145,808515,0.002998
145,948668,0.001999
145,983166,0.002998
145,391950,0.007984
145,821723,0.00898
145,13713,0.001999
145,234699,0.001
145,235126,0.001999
145,307836,0.001999
145,429368,0.001
145,500846,0.001999
145,679107,0.001
145,825437,0.015937
145,229536,0.0029980000000000002
145,233229,0.011963999999999999
145,808160,0.0039959999999999996
145,908195,0.001999
145,971290,0.0039959999999999996
145,132031,0.001999
145,152094,0.001999
145,290643,0.001999
145,772157,0.001999
145,796444,0.006988
145,166096,0.004994
145,149845,0.001999
145,297324,0.013951
145,417654,0.001999
145,540289,0.0039959999999999996
145,711678,0.001999
145,806119,0.001999
145,946410,0.001999
145,968242,0.0029980000000000002
145,515608,0.002998
145,541390,0.001999
145,698971,0.001999
145,865822,0.002998
145,929711,0.002998
145,499564,0.001999
145,274002,0.001999
145,578454,0.001999
145,195074,0.001
145,729324,0.001
145,228705,0.001
145,994520,0.001
145,991436,0.001
145,734572,0.001
145,107122,0.001
145,169453,0.001
145,405415,0.001
145,541424,0.001
145,500243,0.002
145,320710,0.001
145,367563,0.001
145,152292,0.001
31383,1539,1.0
31383,38878,1.0
31383,60438,1.0
31383,84149,1.0
31383,87432,1.0
31383,117383,1.0
31383,133263,1.0
31383,152991,1.0
31383,161042,1.0
31383,182620,1.0
31383,195074,1.0
31383,240671,1.0
31383,253537,1.0
31383,258017,1.0
31383,265474,1.0
31383,291936,1.0
31383,328891,1.0
31383,351902,1.0
31383,397832,1.0
31383,418840,1.0
31383,441435,1.0
31383,466173,1.0
31383,472016,1.0
31383,607020,1.0
31383,613750,1.0
31383,614445,1.0
31383,617317,1.0
31383,685438,1.0
31383,694461,1.0
31383,705632,1.0
31383,718811,1.0
31383,724674,1.0
31383,835622,1.0
31383,852394,1.0
31383,936742,1.0
31383,954515,1.0
31383,984973,1.0
31383,9072,1.0
31383,999659,1.0
31383,975852,1.0
31383,953096,1.0
31383,834971,1.0
31383,583085,1.0
31383,421005,1.0
31383,330596,1.0
31383,32813,0.037639
31383,105294,0.015937
31383,160817,0.00898
31383,175764,0.025831
31383,338687,0.026818
31383,376613,0.037639
31383,563940,0.037639
31383,572310,0.024843999999999998
31383,620114,0.01891
31383,628474,0.012958
31383,748485,0.037639
31383,937351,0.037639
31383,940112,0.037639
31383,508730,0.023856999999999996
31383,183735,0.032728
31383,214760,0.027804000000000002
31383,294105,0.03076
31383,315645,0.037639
31383,360291,0.007984999999999999
31383,425517,0.011965
31383,536587,0.0029980000000000002
31383,552679,0.014943999999999999
31383,575684,0.02089
31383,606750,0.037639
31383,662690,0.010971999999999999
31383,672617,0.029775
31383,881873,0.037639
31383,913587,0.019901
31383,948301,0.005992
31383,228705,0.006988
31383,16948,0.0029980000000000002
31383,55408,0.0029980000000000002
31383,73989,0.015937
31383,106743,0.037639
31383,110303,0.031744999999999995
31383,145845,0.034694
31383,168346,0.037639
31383,176164,0.005992
31383,185706,0.037639
31383,193676,0.037639
31383,199187,0.037639
31383,278374,0.01097
31383,281431,0.037639
31383,288123,0.032728
31383,292231,0.004994
31383,350827,0.006988
31383,393955,0.037639
31383,412878,0.007984999999999999
31383,428286,0.037639
31383,434435,0.019901
31383,439346,0.019901
31383,457566,0.037639
31383,502190,0.034694
31383,509031,0.024843999999999998
31383,555524,0.034694
31383,645071,0.033711000000000005
31383,648400,0.037639
31383,654577,0.037639
31383,670600,0.037639
31383,705172,0.037639
31383,728654,0.035676
31383,776400,0.023856999999999996
31383,798855,0.037639
31383,812593,0.013952
31383,827354,0.015937
31383,833800,0.035676
31383,875987,0.006988
31383,965293,0.033711000000000005
31383,983433,0.037639
31383,987402,0.031744
31383,965592,0.014943999999999999
31383,953413,0.016928
31383,815960,0.033711000000000005
31383,606675,0.001999
31383,584792,0.006988
31383,372854,0.02089
31383,146170,0.037639
31383,16154,0.0199
31383,23096,0.02879
31383,32806,0.02089
31383,44162,0.006988
31383,46049,0.037639
31383,72474,0.0039959999999999996
31383,189144,0.011965
31383,198812,0.037639
31383,199796,0.0029980000000000002
31383,202511,0.004994
31383,214829,0.001999
31383,239215,0.009976
31383,318384,0.01097
31383,437145,0.004994
31383,489729,0.027804000000000002
31383,520893,0.001999
31383,551095,0.025832
31383,575204,0.004994
31383,584565,0.019901
31383,702370,0.00898
31383,731718,0.007984999999999999
31383,747042,0.01097
31383,762558,0.025831
31383,833290,0.001999
31383,856725,0.015936
31383,858258,0.036657999999999996
31383,890236,0.009976
31383,937704,0.005992
31383,968045,0.03076
31383,983003,0.037639
31383,994520,0.016928
31383,82245,0.006988
31383,103910,0.005991
31383,688082,0.01296
31383,177377,0.0039959999999999996
31383,109353,0.034694
31383,137040,0.001999
31383,149050,0.01097
31383,157906,0.031744
31383,381409,0.01891
31383,436418,0.035676
31383,439173,0.0029980000000000002
31383,497387,0.009975000000000001
31383,539688,0.001999
31383,548544,0.001999
31383,575027,0.01097
31383,601148,0.034694
31383,638857,0.025832
31383,643349,0.017918999999999997
31383,738233,0.00898
31383,789430,0.023856000000000002
31383,865448,0.014943999999999999
31383,876906,0.034694
31383,961018,0.036657999999999996
31383,991436,0.00898
31383,767676,0.004994
31383,600619,0.037639
31383,513869,0.004994
31383,365616,0.0029980000000000002
31383,275363,0.001999
31383,241923,0.001999
31383,473629,0.027804999999999996
31383,585626,0.0039959999999999996
31383,777914,0.036657999999999996
31383,12180,0.022868
31383,197117,0.019901
31383,249667,0.036657999999999996
31383,287882,0.00898
31383,315741,0.016928
31383,323213,0.02879
31383,352321,0.037639
31383,366716,0.012958
31383,377319,0.035676
31383,473614,0.037639
31383,491298,0.034694
31383,514611,0.007984
31383,545414,0.024843999999999998
31383,560009,0.001999
31383,726542,0.022868
31383,733443,0.0029980000000000002
31383,927895,0.036657999999999996
31383,950407,0.037639
31383,57955,0.023856000000000002
31383,817147,0.004994
31383,764148,0.001999
31383,384852,0.01097
31383,123437,0.006988
31383,152481,0.032728
31383,588774,0.037639
31383,602238,0.035676
31383,672075,0.0029980000000000002
31383,680069,0.0029980000000000002
31383,723044,0.033711000000000005
31383,757766,0.037639
31383,760280,0.027804999999999996
31383,857941,0.004994
31383,897590,0.001999
31383,956839,0.001999
31383,107122,0.0039959999999999996
31383,163647,0.035676
31383,423765,0.004994
31383,790825,0.035676
31383,351038,0.011963999999999999
31383,838961,0.031744
31383,482681,0.031744
31383,9797,0.0029980000000000002
31383,131162,0.001999
31383,212256,0.033711000000000005
31383,405415,0.023856000000000002
31383,713609,0.015936
31383,887152,0.035676
31383,909244,0.005991
31383,912876,0.014944
31383,978744,0.016928
31383,936489,0.01097
31383,264058,0.004994
31383,387451,0.027804999999999996
31383,541424,0.00898
31383,679489,0.02188
31383,685281,0.0029980000000000002
31383,827484,0.01097
31383,24901,0.037639
31383,280445,0.009976
31383,495692,0.019901
31383,521751,0.004994
31383,778023,0.019901
31383,87420,0.0029980000000000002
31383,40242,0.02089
31383,947148,0.005991
31383,70766,0.00898
31383,90376,0.014943999999999999
31383,385510,0.01792
31383,652162,0.007984999999999999
31383,703680,0.027804999999999996
31383,715340,0.01891
31383,870337,0.009975000000000001
31383,140840,0.026818
31383,235452,0.011963999999999999
31383,454933,0.0199
31383,500243,0.009976
31383,320710,0.035676
31383,896821,0.01891
31383,796049,0.032728
31383,940285,0.012958
31383,40543,0.006988
31383,470988,0.023856999999999996
31383,624871,0.011965
31383,948668,0.005991
31383,821723,0.001999
31383,56528,0.0039959999999999996
31383,455432,0.005991
31383,478885,0.0039959999999999996
31383,500846,0.005991
31383,825437,0.02879
31383,971793,0.001999
31383,233229,0.022868
31383,314971,0.037639
31383,677025,0.001999
31383,908195,0.005991
31383,971290,0.006988
31383,80991,0.006988
31383,290643,0.004994
31383,369563,0.0029980000000000002
31383,469487,0.024843999999999998
31383,166096,0.016928
31383,184614,0.0029980000000000002
31383,297324,0.0039959999999999996
31383,303118,0.00898
31383,946410,0.0039959999999999996
31383,367563,0.02879
31383,17887,0.004994
31383,189623,0.013951
31383,199575,0.01891
31383,366226,0.024843999999999998
31383,387838,0.022868
31383,414344,0.001999
31383,502855,0.025831
31383,726327,0.011963999999999999
31383,816529,0.012958
31383,859160,0.0039959999999999996
31383,522694,0.026818
31383,748398,0.009975000000000001
31383,893916,0.005991
31383,133694,0.009975000000000001
31383,152478,0.004994
31383,784715,0.036657999999999996
31383,721041,0.011963999999999999
31383,566734,0.025831
31383,176789,0.001999
31383,806873,0.01097
31383,544870,0.004994
31383,968242,0.012958
31383,756469,0.0039959999999999996
31383,504578,0.005991
31383,233713,0.029775
31383,112757,0.005991
31383,147716,0.001999
31383,295282,0.001999
31383,916590,0.005991
31383,330908,0.014944
31383,596929,0.016928
31383,14688,0.0039959999999999996
31383,135234,0.022868
31383,565019,0.001999
31383,633800,0.001999
31383,929711,0.005991
31383,994931,0.001999
31383,308469,0.004994
31383,792900,0.001999
31383,538866,0.0039959999999999996
31383,682145,0.001999
31383,892315,0.0039959999999999996
31383,136343,0.0039959999999999996
31383,245375,0.001999
31383,507005,0.001999
31383,529359,0.005991
31383,635789,0.005991
31383,645025,0.002998
31383,564202,0.01097
31383,572442,0.0039959999999999996
31383,88536,0.0039959999999999996
31383,504040,0.001999
31383,154832,0.007984
31383,629329,0.01097
31383,344387,0.0029980000000000002
31383,157849,0.001999
31383,513015,0.006988
31383,35301,0.0039959999999999996
31383,976288,0.004994
31383,677984,0.013951
31383,367841,0.001
31383,608983,0.001
31383,160531,0.001
31383,320262,0.001
31383,141626,0.001
31383,235170,0.001
31383,672753,0.001
31383,594395,0.001
31383,394843,0.001
31383,495790,0.001
31383,592059,0.001
31383,965700,0.001
31383,103538,0.001
31383,212905,0.001
31383,229536,0.001
31383,909173,0.001
31383,164135,0.001
32813,13163,1.0
32813,117383,1.0
32813,123196,1.0
32813,183735,1.0
32813,214760,1.0
32813,229032,1.0
32813,240913,1.0
32813,294105,1.0
32813,315645,1.0
32813,338687,1.0
32813,351902,1.0
32813,360291,1.0
32813,425517,1.0
32813,481517,1.0
32813,508730,1.0
32813,536587,1.0
32813,552679,1.0
32813,575684,1.0
32813,606750,1.0
32813,613750,1.0
32813,620114,1.0
32813,662690,1.0
32813,672617,1.0
32813,729324,1.0
32813,881873,1.0
32813,913587,1.0
32813,937351,1.0
32813,999659,1.0
32813,948301,1.0
32813,808503,1.0
32813,472016,1.0
32813,441435,1.0
32813,228705,1.0
32813,84149,0.025832
32813,105294,0.037639
32813,160817,0.014943999999999999
32813,175764,0.02188
32813,376613,0.01097
32813,418840,0.036657999999999996
32813,466173,0.037639
32813,563940,0.011965
32813,572310,0.006988
32813,607020,0.037639
32813,617317,0.02879
32813,628474,0.035676
32813,748485,0.037639
32813,835622,0.01891
32813,940112,0.037639
32813,291936,0.034694
32813,1539,0.032728
32813,38878,0.001999
32813,60438,0.037639
32813,133263,0.0199
32813,152991,0.01891
32813,161042,0.03076
32813,182620,0.037639
32813,195074,0.015937
32813,253537,0.032728
32813,258017,0.033711000000000005
32813,265474,0.015937
32813,397832,0.0039959999999999996
32813,694461,0.037639
32813,705632,0.013952
32813,724674,0.02089
32813,852394,0.013952
32813,936742,0.037639
32813,954515,0.03076
32813,984973,0.011965
32813,9072,0.0029980000000000002
32813,975852,0.006988
32813,834971,0.022868
32813,421005,0.01097
32813,55408,0.006988
32813,73989,0.037639
32813,106743,0.001999
32813,110303,0.037639
32813,145845,0.0039970000000000006
32813,168346,0.023856000000000002
32813,185706,0.0039959999999999996
32813,193676,0.026818
